전철역명,호선,X좌표(WGS),Y좌표(WGS)
서정리,1,37.056496,127.052819
지제,1,37.0188,127.070444
평택,1,36.990726,127.085159
성환,1,36.916076,127.126964
직산,1,36.870593,127.143904
두정,1,36.833705,127.14896
천안,1,36.810005,127.146826
당정,1,37.344285,126.948345
서동탄,1,37.195504,127.051672
광명,1,37.416182,126.884466
개봉,1,37.494594,126.85868
오류동,1,37.494526,126.845365
역곡,1,37.485178,126.811502
부천,1,37.48405,126.782686
송내,1,37.4876,126.753664
부평,1,37.489493,126.724805
백운,1,37.483664,126.707704
동암,1,37.471408,126.702896
주안,1,37.464941,126.679923
제물포,1,37.466769,126.656666
동인천,1,37.475276,126.632802
인천,1,37.476691,126.616936
부개,1,37.488418,126.74109
간석,1,37.464737,126.694181
도원,1,37.468446,126.642706
온수,1,37.492258,126.823388
중동,1,37.486562,126.764843
도화,1,37.46607,126.668672
소사,1,37.482753,126.79544
방학,1,37.667503,127.044273
도봉,1,37.679563,127.045595
도봉산,1,37.689313,127.046222
망월사,1,37.709914,127.047455
회룡,1,37.724846,127.046895
의정부,1,37.738415,127.045958
가능,1,37.748577,127.044213
녹양,1,37.75938,127.042292
양주,1,37.774381,127.044708
덕계,1,37.818486,127.056486
덕정,1,37.843188,127.061277
지행,1,37.892334,127.055716
동두천중앙,1,37.901885,127.056482
보산,1,37.913702,127.057277
동두천,1,37.927878,127.05479
소요산,1,37.9481,127.061034
동대문역사문화공원,2,37.565138,127.007896
신도림,2,37.508725,126.891295
왕십리,2,37.561533,127.037732
시청,2,37.564718,126.977108
교대,2,37.493415,127.01408
신설동,2,37.575297,127.025087
강변,2,37.535095,127.094681
까치산,2,37.531768,126.846683
을지로3가,2,37.566295,126.99191
홍대입구,2,37.557192,126.925381
영등포구청,2,37.52497,126.895951
을지로4가,2,37.566941,126.998079
합정,2,37.549463,126.913739
신당,2,37.565972,127.01782
왕십리,2,37.561533,127.037732
종합운동장,2,37.510997,127.073642
사당,2,37.47653,126.981685
건대입구,2,37.540693,127.07023
대림,2,37.49297,126.895801
잠실,2,37.51395,127.102234
당산,2,37.53438,126.902281
강남,2,37.497175,127.027926
왕십리,2,37.561533,127.037732
선릉,2,37.504503,127.049008
충정로,2,37.559973,126.963672
동대문역사문화공원,2,37.565138,127.007896
신설동,2,37.575297,127.025087
홍대입구,2,37.557192,126.925381
신설동,2,37.575297,127.025087
을지로입구,2,37.566014,126.982618
을지로3가,2,37.566295,126.99191
을지로4가,2,37.566941,126.998079
시청,2,37.564718,126.977108
동대문역사문화공원,2,37.565138,127.007896
신당,2,37.565972,127.01782
상왕십리,2,37.564354,127.029354
왕십리,2,37.561533,127.037732
한양대,2,37.555273,127.043655
뚝섬,2,37.547184,127.047367
성수,2,37.544581,127.055961
건대입구,2,37.540693,127.07023
구의,2,37.537077,127.085916
잠실나루,2,37.520733,127.10379
잠실,2,37.51395,127.102234
잠실새내,2,37.511687,127.086162
종합운동장,2,37.510997,127.073642
삼성,2,37.508844,127.06316
선릉,2,37.504503,127.049008
역삼,2,37.500622,127.036456
강남,2,37.497175,127.027926
서초,2,37.491897,127.007917
방배,2,37.481426,126.997596
사당,2,37.47653,126.981685
낙성대,2,37.47693,126.963693
서울대입구,2,37.481247,126.952739
봉천,2,37.482362,126.941892
신림,2,37.484201,126.929715
신대방,2,37.487462,126.913149
구로디지털단지,2,37.485266,126.901401
대림,2,37.49297,126.895801
신도림,2,37.508725,126.891295
문래,2,37.517933,126.89476
영등포구청,2,37.52497,126.895951
당산,2,37.53438,126.902281
합정,2,37.549463,126.913739
홍대입구,2,37.557192,126.925381
신촌,2,37.555134,126.936893
이대,2,37.556733,126.946013
아현,2,37.557345,126.956141
충정로,2,37.559973,126.963672
용답,2,37.561904,127.050899
신답,2,37.57004,127.046481
도림천,2,37.514287,126.882768
양천구청,2,37.512398,126.865819
신정네거리,2,37.520074,126.852912
용두,2,37.574028,127.038091
교대,2,37.493415,127.01408
까치산,2,37.531768,126.846683
가락시장,3,37.492522,127.118234
종로3가,3,37.571607,126.991806
오금,3,37.502162,127.128111
충무로,3,37.561243,126.99428
교대,3,37.493415,127.01408
종로3가,3,37.571607,126.991806
을지로3가,3,37.566295,126.99191
종로3가,3,37.571607,126.991806
약수,3,37.55434,127.010655
불광,3,37.610469,126.929887
연신내,3,37.619001,126.921008
대곡,3,37.631626,126.811024
고속터미널,3,37.50481,127.004943
고속터미널,3,37.50481,127.004943
양재,3,37.484147,127.034631
옥수,3,37.540685,127.017965
도곡,3,37.490858,127.055381
수서,3,37.487371,127.10188
충무로,3,37.561243,126.99428
을지로3가,3,37.566295,126.99191
홍제,3,37.589066,126.943736
수서,3,37.487371,127.10188
경찰병원,3,37.495918,127.12454
삼송,3,37.653083,126.895558
화정,3,37.634592,126.83265
원흥,3,37.650658,126.872642
지축,3,37.648048,126.913951
구파발,3,37.636763,126.918821
연신내,3,37.619001,126.921008
불광,3,37.610469,126.929887
녹번,3,37.600927,126.935756
무악재,3,37.582299,126.950291
독립문,3,37.574571,126.957748
경복궁,3,37.575762,126.97353
안국,3,37.576477,126.985443
동대입구,3,37.559052,127.005602
약수,3,37.55434,127.010655
금호,3,37.548034,127.015872
옥수,3,37.540685,127.017965
압구정,3,37.527072,127.028461
신사,3,37.516334,127.020114
잠원,3,37.512759,127.01122
고속터미널,3,37.50481,127.004943
교대,3,37.493415,127.01408
남부터미널,3,37.485013,127.016189
양재,3,37.484147,127.034631
매봉,3,37.486947,127.046769
도곡,3,37.490858,127.055381
대치,3,37.494612,127.063642
학여울,3,37.496663,127.070594
대청,3,37.493514,127.079532
일원,3,37.483681,127.08439
원당,3,37.653324,126.843041
대곡,3,37.631626,126.811024
백석,3,37.643114,126.78787
마두,3,37.652206,126.77762
정발산,3,37.659477,126.773359
주엽,3,37.670072,126.761334
대화,3,37.676087,126.747569
오금,3,37.502162,127.128111
가락시장,3,37.492522,127.118234
동대문,4,37.57142,127.009745
동대문역사문화공원,4,37.565138,127.007896
충무로,4,37.561243,126.99428
서울,4,37.554648,126.972559
이촌,4,37.522272,126.974345
삼각지,4,37.534777,126.97311
금정,4,37.372221,126.943429
오이도,4,37.362357,126.738714
창동,4,37.653166,127.047731
사당,4,37.47653,126.981685
노원,4,37.655128,127.061368
총신대입구(이수),4,37.486263,126.981989
동작,4,37.502971,126.979306
동대문역사문화공원,4,37.565138,127.007896
성신여대입구,4,37.592624,127.016403
동대문,4,37.57142,127.009745
충무로,4,37.561243,126.99428
서울,4,37.554648,126.972559
동대문역사문화공원,4,37.565138,127.007896
사당,4,37.47653,126.981685
당고개,4,37.670272,127.079066
상계,4,37.660878,127.073572
노원,4,37.655128,127.061368
창동,4,37.653166,127.047731
쌍문,4,37.648627,127.034709
수유,4,37.638052,127.025732
미아,4,37.62667,127.025983
미아사거리,4,37.613292,127.030053
길음,4,37.603407,127.025053
성신여대입구,4,37.592624,127.016403
한성대입구,4,37.588458,127.006221
혜화,4,37.582336,127.001844
명동,4,37.560989,126.986325
회현,4,37.558514,126.978246
숙대입구,4,37.54456,126.972106
삼각지,4,37.534777,126.97311
신용산,4,37.52917,126.967894
이촌,4,37.522272,126.974345
동작,4,37.502971,126.979306
총신대입구(이수),4,37.486263,126.981989
남태령,4,37.463873,126.989134
선바위,4,37.451673,127.002303
경마공원,4,37.443885,127.007888
대공원,4,37.435675,127.006523
과천,4,37.433021,126.996568
정부과천청사,4,37.426513,126.98978
인덕원,4,37.401553,126.976715
평촌,4,37.394287,126.963883
범계,4,37.389793,126.950806
금정,4,37.372221,126.943429
산본,4,37.358101,126.933274
대야미,4,37.328467,126.917332
반월,4,37.312212,126.903524
상록수,4,37.302795,126.866489
한대앞,4,37.309689,126.85344
중앙,4,37.315941,126.838573
고잔,4,37.316777,126.823249
초지,4,37.320646,126.805913
안산,4,37.327082,126.788532
신길온천,4,37.338212,126.765844
정왕,4,37.351735,126.742989
오이도,4,37.362357,126.738714
수리산,4,37.349801,126.925365
종로3가,5,37.571607,126.991806
오금,5,37.502162,127.128111
동대문역사문화공원,5,37.565138,127.007896
왕십리,5,37.561533,127.037732
까치산,5,37.531768,126.846683
종로3가,5,37.571607,126.991806
영등포구청,5,37.52497,126.895951
신길,5,37.517122,126.917169
종로3가,5,37.571607,126.991806
을지로4가,5,37.566941,126.998079
공덕,5,37.544018,126.951592
왕십리,5,37.561533,127.037732
공덕,5,37.544018,126.951592
천호,5,37.538397,127.123572
군자,5,37.557121,127.079542
여의도,5,37.521624,126.924191
김포공항,5,37.562434,126.801058
왕십리,5,37.561533,127.037732
공덕,5,37.544018,126.951592
충정로,5,37.559973,126.963672
동대문역사문화공원,5,37.565138,127.007896
청구,5,37.560245,127.013828
김포공항,5,37.562434,126.801058
영등포시장,5,37.522669,126.905139
상일동,5,37.556712,127.166417
을지로4가,5,37.566941,126.998079
동대문역사문화공원,5,37.565138,127.007896
왕십리,5,37.561533,127.037732
영등포구청,5,37.52497,126.895951
충정로,5,37.559973,126.963672
신길,5,37.517122,126.917169
방화,5,37.577446,126.812741
개화산,5,37.572399,126.806171
김포공항,5,37.562434,126.801058
송정,5,37.561184,126.811973
마곡,5,37.560183,126.825448
발산,5,37.558598,126.837668
우장산,5,37.548768,126.836318
화곡,5,37.541513,126.840461
까치산,5,37.531768,126.846683
신정,5,37.524997,126.856191
목동,5,37.526065,126.864931
오목교,5,37.524496,126.875181
양평,5,37.525648,126.885778
여의도,5,37.521624,126.924191
여의나루,5,37.527098,126.932901
마포,5,37.539574,126.945932
공덕,5,37.544018,126.951592
애오개,5,37.553736,126.95682
서대문,5,37.565773,126.966641
광화문,5,37.571026,126.976669
청구,5,37.560245,127.013828
신금호,5,37.554548,127.020331
행당,5,37.557322,127.029476
마장,5,37.5661,127.042973
답십리,5,37.566747,127.052704
장한평,5,37.56144,127.064623
군자,5,37.557121,127.079542
아차산,5,37.551691,127.089761
광나루,5,37.545303,127.10357
천호,5,37.538397,127.123572
강동,5,37.535804,127.132481
길동,5,37.537801,127.140004
굽은다리,5,37.545477,127.142853
명일,5,37.55137,127.143999
고덕,5,37.555004,127.154151
둔촌동,5,37.527788,127.136248
올림픽공원,5,37.516078,127.130848
방이,5,37.508857,127.126133
오금,5,37.502162,127.128111
개롱,5,37.498079,127.13482
거여,5,37.493105,127.14415
마천,5,37.49499,127.152781
합정,6,37.549463,126.913739
공덕,6,37.544018,126.951592
삼각지,6,37.534777,126.97311
약수,6,37.55434,127.010655
신당,6,37.565972,127.01782
동묘앞,6,37.572627,127.016429
석계,6,37.614805,127.065851
불광,6,37.610469,126.929887
연신내,6,37.619001,126.921008
공덕,6,37.544018,126.951592
디지털미디어시티,6,37.576646,126.900984
공덕,6,37.544018,126.951592
효창공원앞,6,37.539261,126.961351
태릉입구,6,37.617983,127.07512
청구,6,37.560245,127.013828
보문,6,37.585286,127.019381
디지털미디어시티,6,37.576646,126.900984
동묘앞,6,37.572627,127.016429
신당,6,37.565972,127.01782
합정,6,37.549463,126.913739
연신내,6,37.619001,126.921008
불광,6,37.610469,126.929887
약수,6,37.55434,127.010655
삼각지,6,37.534777,126.97311
석계,6,37.614805,127.065851
공덕,6,37.544018,126.951592
청구,6,37.560245,127.013828
응암,6,37.598605,126.915577
역촌,6,37.606021,126.922744
독바위,6,37.618456,126.933031
구산,6,37.611377,126.91727
새절,6,37.591148,126.913629
증산,6,37.583876,126.909645
디지털미디어시티,6,37.576646,126.900984
월드컵경기장,6,37.569532,126.899298
마포구청,6,37.563515,126.903343
망원,6,37.556094,126.910052
상수,6,37.547716,126.922852
광흥창,6,37.547456,126.931993
대흥,6,37.547771,126.942069
효창공원앞,6,37.539261,126.961351
녹사평,6,37.534675,126.986695
이태원,6,37.534488,126.994302
한강진,6,37.539631,127.001725
버티고개,6,37.548013,127.007055
창신,6,37.579661,127.015241
보문,6,37.585286,127.019381
안암,6,37.586272,127.029005
고려대,6,37.590508,127.036296
월곡,6,37.601948,127.041518
상월곡,6,37.606377,127.048491
돌곶이,6,37.610537,127.056431
태릉입구,6,37.617983,127.07512
화랑대,6,37.620064,127.084689
봉화산,6,37.617283,127.091401
상봉,7,37.596362,127.085032
도봉산,7,37.689313,127.046222
상봉,7,37.596362,127.085032
노원,7,37.655128,127.061368
군자,7,37.557121,127.079542
건대입구,7,37.540693,127.07023
고속터미널,7,37.50481,127.004943
총신대입구(이수),7,37.486263,126.981989
대림,7,37.49297,126.895801
가산디지털단지,7,37.481072,126.882343
온수,7,37.492258,126.823388
부평구청,7,37.508336,126.720548
고속터미널,7,37.50481,127.004943
강남구청,7,37.517186,127.04128
태릉입구,7,37.617983,127.07512
공릉,7,37.625742,127.072896
상도,7,37.502834,126.94791
건대입구,7,37.540693,127.07023
대림,7,37.49297,126.895801
고속터미널,7,37.50481,127.004943
노원,7,37.655128,127.061368
총신대입구(이수),7,37.486263,126.981989
가산디지털단지,7,37.481072,126.882343
온수,7,37.492258,126.823388
도봉산,7,37.689313,127.046222
군자,7,37.557121,127.079542
태릉입구,7,37.617983,127.07512
장암,7,37.700109,127.053196
수락산,7,37.67785,127.055315
마들,7,37.66494,127.057675
중계,7,37.644583,127.064303
하계,7,37.636352,127.06799
먹골,7,37.610637,127.077725
중화,7,37.602545,127.079264
상봉,7,37.596362,127.085032
면목,7,37.588579,127.087503
사가정,7,37.580894,127.088478
용마산,7,37.573647,127.086727
중곡,7,37.565923,127.08432
어린이대공원,7,37.548014,127.074658
뚝섬유원지,7,37.53154,127.066704
청담,7,37.519365,127.05335
강남구청,7,37.517186,127.04128
학동,7,37.514229,127.031656
논현,7,37.511093,127.021415
반포,7,37.508178,127.011727
내방,7,37.487618,126.993513
남성,7,37.484596,126.971251
숭실대입구,7,37.496029,126.953822
장승배기,7,37.504898,126.93915
신대방삼거리,7,37.499701,126.928276
보라매,7,37.499872,126.920428
신풍,7,37.50008,126.90993
남구로,7,37.486056,126.887249
철산,7,37.47605,126.867911
광명사거리,7,37.479252,126.854876
천왕,7,37.486637,126.838713
까치울,7,37.506207,126.810939
부천종합운동장,7,37.50538,126.797337
춘의,7,37.503663,126.787036
신중동,7,37.503048,126.77596
부천시청,7,37.504631,126.763538
상동,7,37.505781,126.753083
삼산체육관,7,37.506411,126.742153
굴포천,7,37.506997,126.73128
부평구청,7,37.508336,126.720548
가락시장,8,37.492522,127.118234
천호,8,37.538397,127.123572
잠실,8,37.51395,127.102234
복정,8,37.470047,127.126662
모란,8,37.43213,127.129087
잠실,8,37.51395,127.102234
복정,8,37.470047,127.126662
모란,8,37.43213,127.129087
천호,8,37.538397,127.123572
암사,8,37.55021,127.127562
강동구청,8,37.530341,127.120508
몽촌토성,8,37.517409,127.112359
석촌,8,37.505431,127.106979
송파,8,37.499703,127.112183
가락시장,8,37.492522,127.118234
문정,8,37.485855,127.1225
장지,8,37.478703,127.126191
산성,8,37.457122,127.149908
남한산성입구,8,37.451535,127.159816
단대오거리,8,37.44521,127.156866
신흥,8,37.440918,127.147564
수진,8,37.437428,127.140722
선정릉,9,37.51098,127.043593
종합운동장,9,37.510997,127.073642
고속터미널,9,37.50481,127.004943
당산,9,37.53438,126.902281
여의도,9,37.521624,126.924191
동작,9,37.502971,126.979306
고속터미널,9,37.50481,127.004943
김포공항,9,37.562434,126.801058
김포공항,9,37.562434,126.801058
종합운동장,9,37.510997,127.073642
당산,9,37.53438,126.902281
고속터미널,9,37.50481,127.004943
동작,9,37.502971,126.979306
노량진,9,37.514219,126.942454
선정릉,9,37.51098,127.043593
김포공항,9,37.562434,126.801058
여의도,9,37.521624,126.924191
개화,9,37.578608,126.798153
공항시장,9,37.563726,126.810678
신방화,9,37.567532,126.816601
마곡나루,9,37.567336,126.829497
양천향교,9,37.568381,126.841333
가양,9,37.561391,126.854456
증미,9,37.557402,126.861939
등촌,9,37.550632,126.865689
염창,9,37.546936,126.874916
신목동,9,37.544277,126.88308
선유도,9,37.53802,126.893525
국회의사당,9,37.528105,126.917874
샛강,9,37.517274,126.928422
노들,9,37.512887,126.953222
흑석,9,37.50877,126.963708
구반포,9,37.501364,126.987332
신반포,9,37.503415,126.995925
사평,9,37.504206,127.015259
신논현,9,37.504598,127.02506
언주,9,37.507287,127.033868
삼성중앙,9,37.513011,127.053282
봉은사,9,37.514219,127.060245
